CUSTOMERNAME,ORDERNUMBER,PRODUCTCODE,ORDERDATE,QUANTITYORDERED,PRICEEACH,SALES,ORDERLINENUMBER,STATUS,DEALSIZE,CUSTOMER_ID,STATUS_ID,TABLE_NAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,PRODUCTLINE,MSRP,YEAR_ID,MONTH_ID,QTR_ID
Euro Shopping Channel,10212.0,S18_2870,2004-01-16,40.0,100.0,4910.4,7.0,Shipped,Medium,24.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Collectable Mini Designs Co.,10226.0,S18_2870,2004-02-26,24.0,100.0,3231.36,5.0,Shipped,Medium,56.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Mini Caravy,10241.0,S18_2870,2004-04-13,44.0,100.0,6853.44,12.0,Shipped,Medium,84.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"UK Collectables, Ltd.",10253.0,S18_2870,2004-06-01,37.0,100.0,5177.04,2.0,Cancelled,Medium,23.0,4.0,Fact_Sales,,,,,,,,,,,,,,,
L'ordine Souveniers,10266.0,S18_2870,2004-07-06,20.0,100.0,2824.8,3.0,Shipped,Small,71.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Signal Gift Stores,10278.0,S18_2870,2004-08-06,39.0,100.0,4324.32,3.0,Shipped,Medium,85.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Vida Sport, Ltd",10287.0,S18_2870,2004-08-30,44.0,100.0,5052.96,1.0,Shipped,Medium,70.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Norway Gifts By Mail, Co.",10301.0,S18_2870,2003-10-05,22.0,100.0,3223.44,5.0,Shipped,Medium,86.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Euro Shopping Channel,10311.0,S18_2870,2004-10-16,43.0,100.0,5278.68,10.0,Shipped,Medium,24.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
FunGiftIdeas.com,10321.0,S18_2870,2004-11-04,27.0,100.0,2851.2,7.0,Shipped,Small,22.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Motor Mint Distributors Inc.,10331.0,S18_2870,2004-11-17,26.0,64.9,1687.4,10.0,Shipped,Small,46.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Reims Collectables,10343.0,S18_2870,2004-11-24,25.0,52.32,1308.0,3.0,Shipped,Small,2.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Royale Belge,10366.0,S18_2870,2005-01-10,49.0,100.0,6144.6,2.0,Shipped,Medium,91.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Euro Shopping Channel,10379.0,S18_2870,2005-02-10,29.0,100.0,5127.2,5.0,Shipped,Medium,24.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
The Sharp Gifts Warehouse,10407.0,S18_2870,2005-04-22,41.0,100.0,6386.16,12.0,On Hold,Medium,62.0,5.0,Fact_Sales,,,,,,,,,,,,,,,
Salzburg Collectables,10419.0,S18_2870,2005-05-17,55.0,100.0,7695.6,2.0,Shipped,Large,20.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Baane Mini Imports,10103.0,S18_2949,2003-01-29,27.0,83.07,2242.89,12.0,Shipped,Small,18.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Volvo Model Replicas, Co",10112.0,S18_2949,2003-03-24,23.0,100.0,2539.89,2.0,Shipped,Small,25.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Corrida Auto Replicas, Ltd",10126.0,S18_2949,2003-05-28,31.0,90.17,2795.27,12.0,Shipped,Small,26.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Souveniers And Things Co.,10139.0,S18_2949,2003-07-16,46.0,100.0,5545.76,1.0,Shipped,Medium,21.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Dragon Souveniers, Ltd.",10150.0,S18_2949,2003-09-19,47.0,91.18,4285.46,9.0,Shipped,Medium,27.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Classic Legends Inc.,10163.0,S18_2949,2003-10-20,31.0,100.0,3329.09,2.0,Shipped,Medium,28.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Australian Gift Network, Co",10174.0,S18_2949,2003-11-06,46.0,100.0,5592.22,5.0,Shipped,Medium,29.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Classic Gift Ideas, Inc",10183.0,S18_2949,2003-11-13,37.0,89.15,3298.55,9.0,Shipped,Medium,30.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Australian Collectables, Ltd",10193.0,S18_2949,2003-11-21,28.0,93.21,2609.88,1.0,Shipped,Small,88.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Canadian Gift Exchange Network,10206.0,S18_2949,2003-12-05,37.0,90.17,3336.29,7.0,Shipped,Medium,32.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
West Coast Collectables Co.,10215.0,S18_2949,2004-01-29,49.0,100.0,5510.05,4.0,Shipped,Medium,33.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Cambridge Collectables Co.,10228.0,S18_2949,2004-03-10,24.0,100.0,2504.4,3.0,Shipped,Small,34.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Euro Shopping Channel,10244.0,S18_2949,2004-04-29,30.0,100.0,3525.6,1.0,Shipped,Medium,24.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
The Sharp Gifts Warehouse,10257.0,S18_2949,2004-06-14,50.0,88.14,4407.0,1.0,Shipped,Medium,62.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Souveniers And Things Co.,10270.0,S18_2949,2004-07-19,31.0,96.24,2983.44,10.0,Shipped,Small,21.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Amica Models & Co.,10280.0,S18_2949,2004-08-17,46.0,100.0,5126.24,3.0,Shipped,Medium,37.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Scandinavian Gift Ideas,10291.0,S18_2949,2004-09-08,47.0,100.0,5713.79,12.0,Shipped,Medium,38.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Auto Assoc. & Cie.,10304.0,S18_2949,2004-10-11,46.0,100.0,4613.8,7.0,Shipped,Medium,39.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Mini Gifts Distributors Ltd.,10312.0,S18_2949,2004-10-21,37.0,100.0,3711.1,4.0,Shipped,Medium,40.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Online Diecast Creations Co.,10322.0,S18_2949,2004-11-04,33.0,100.0,3524.73,12.0,Shipped,Medium,41.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Mini Wheels Co.,10333.0,S18_2949,2004-11-18,31.0,90.17,2795.27,5.0,Shipped,Small,9.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Australian Collectors, Co.",10347.0,S18_2949,2004-11-29,48.0,100.0,4814.4,9.0,Shipped,Medium,11.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Mini Gifts Distributors Ltd.,10357.0,S18_2949,2004-12-10,41.0,87.13,3572.33,6.0,Shipped,Medium,40.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Collectables For Less Inc.,10369.0,S18_2949,2005-01-20,42.0,100.0,4581.36,1.0,Shipped,Medium,42.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Corporate Gift Ideas Co.,10381.0,S18_2949,2005-02-17,41.0,100.0,4319.76,8.0,Shipped,Medium,5.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Anna's Decorations, Ltd",10391.0,S18_2949,2005-03-09,32.0,45.25,1448.0,6.0,Shipped,Small,43.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Petit Auto,10423.0,S18_2949,2005-05-30,10.0,88.14,881.4,1.0,In Process,Small,57.0,3.0,Fact_Sales,,,,,,,,,,,,,,,
Baane Mini Imports,10103.0,S18_2957,2003-01-29,35.0,57.46,2011.1,14.0,Shipped,Small,18.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Mini Wheels Co.,10111.0,S18_2957,2003-03-25,28.0,64.33,1801.24,2.0,Shipped,Small,9.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Corrida Auto Replicas, Ltd",10126.0,S18_2957,2003-05-28,46.0,73.7,3390.2,14.0,Shipped,Medium,26.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Souveniers And Things Co.,10139.0,S18_2957,2003-07-16,20.0,71.2,1424.0,3.0,Shipped,Small,21.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Dragon Souveniers, Ltd.",10150.0,S18_2957,2003-09-19,30.0,49.97,1499.1,11.0,Shipped,Small,27.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Classic Legends Inc.,10163.0,S18_2957,2003-10-20,48.0,69.96,3358.08,4.0,Shipped,Medium,28.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Rovelli Gifts,10173.0,S18_2957,2003-11-05,28.0,53.72,1504.16,2.0,Shipped,Small,87.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Classic Gift Ideas, Inc",10183.0,S18_2957,2003-11-13,39.0,68.08,2655.12,11.0,Shipped,Small,30.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Australian Collectables, Ltd",10193.0,S18_2957,2003-11-21,24.0,51.84,1244.16,3.0,Shipped,Small,88.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Canadian Gift Exchange Network,10206.0,S18_2957,2003-12-05,28.0,67.46,1888.88,9.0,Shipped,Small,32.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
West Coast Collectables Co.,10215.0,S18_2957,2004-01-29,31.0,58.71,1820.01,6.0,Shipped,Small,33.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Cambridge Collectables Co.,10228.0,S18_2957,2004-03-10,45.0,63.71,2866.95,5.0,Shipped,Small,34.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Euro Shopping Channel,10244.0,S18_2957,2004-04-29,24.0,58.09,1394.16,3.0,Shipped,Small,24.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
The Sharp Gifts Warehouse,10257.0,S18_2957,2004-06-14,49.0,53.72,2632.28,3.0,Shipped,Small,62.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Salzburg Collectables,10269.0,S18_2957,2004-07-16,32.0,63.08,2018.56,1.0,Shipped,Small,20.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Amica Models & Co.,10280.0,S18_2957,2004-08-17,43.0,68.71,2954.53,5.0,Shipped,Small,37.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Scandinavian Gift Ideas,10291.0,S18_2957,2004-09-08,37.0,50.59,1871.83,14.0,Shipped,Small,38.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Auto Assoc. & Cie.,10304.0,S18_2957,2004-10-11,24.0,64.96,1559.04,9.0,Shipped,Small,39.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Mini Gifts Distributors Ltd.,10312.0,S18_2957,2004-10-21,35.0,53.72,1880.2,6.0,Shipped,Small,40.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Online Diecast Creations Co.,10322.0,S18_2957,2004-11-04,41.0,29.87,1224.67,13.0,Shipped,Small,41.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"AV Stores, Co.",10332.0,S18_2957,2004-11-17,26.0,100.0,2979.08,17.0,Shipped,Small,78.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Australian Collectors, Co.",10347.0,S18_2957,2004-11-29,34.0,64.96,2208.64,10.0,Shipped,Small,11.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Mini Gifts Distributors Ltd.,10357.0,S18_2957,2004-12-10,49.0,70.58,3458.42,5.0,Shipped,Medium,40.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Collectables For Less Inc.,10369.0,S18_2957,2005-01-20,28.0,44.21,1237.88,6.0,Shipped,Small,42.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Corporate Gift Ideas Co.,10381.0,S18_2957,2005-02-17,40.0,68.08,2723.2,4.0,Shipped,Small,5.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Mini Auto Werke,10392.0,S18_2957,2005-03-10,37.0,59.96,2218.52,3.0,Shipped,Small,64.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Petit Auto,10423.0,S18_2957,2005-05-30,31.0,53.72,1665.32,3.0,In Process,Small,57.0,3.0,Fact_Sales,,,,,,,,,,,,,,,
Rovelli Gifts,10106.0,S18_3029,2003-02-17,41.0,83.44,3421.04,18.0,Shipped,Medium,87.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Salzburg Collectables,10119.0,S18_3029,2003-04-28,21.0,89.46,1878.66,9.0,Shipped,Small,20.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Auto-Moto Classics Inc.,10130.0,S18_3029,2003-06-16,40.0,96.34,3853.6,2.0,Shipped,Medium,92.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Mini Creations Ltd.,10143.0,S18_3029,2003-08-10,46.0,74.84,3442.64,13.0,Shipped,Medium,51.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Toys of Finland, Co.",10155.0,S18_3029,2003-10-06,44.0,79.14,3482.16,11.0,Shipped,Medium,17.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Scandinavian Gift Ideas,10167.0,S18_3029,2003-10-23,46.0,73.12,3363.52,7.0,Cancelled,Medium,38.0,4.0,Fact_Sales,,,,,,,,,,,,,,,
Alpha Cognac,10178.0,S18_3029,2003-11-08,41.0,81.72,3350.52,10.0,Shipped,Medium,52.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Double Decker Gift Stores, Ltd",10186.0,S18_3029,2003-11-14,32.0,89.46,2862.72,7.0,Shipped,Small,53.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Enaco Distributors,10197.0,S18_3029,2003-11-26,46.0,87.74,4036.04,4.0,Shipped,Medium,54.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Men 'R' US Retailers, Ltd.",10209.0,S18_3029,2004-01-09,28.0,100.0,2817.92,6.0,Shipped,Small,55.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Collectable Mini Designs Co.,10222.0,S18_3029,2004-02-19,49.0,94.62,4636.38,10.0,Shipped,Medium,56.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Land of Toys Inc.,10248.0,S18_3029,2004-05-07,21.0,73.98,1553.58,1.0,Cancelled,Small,1.0,4.0,Fact_Sales,,,,,,,,,,,,,,,
Euro Shopping Channel,10262.0,S18_3029,2004-06-24,32.0,84.3,2697.6,15.0,Cancelled,Small,24.0,4.0,Fact_Sales,,,,,,,,,,,,,,,
Petit Auto,10273.0,S18_3029,2004-07-21,34.0,98.06,3334.04,2.0,Shipped,Medium,57.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Royal Canadian Collectables, Ltd.",10283.0,S18_3029,2004-08-20,21.0,98.06,2059.26,4.0,Shipped,Small,58.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Bavarian Collectables Imports, Co.",10296.0,S18_3029,2004-09-15,21.0,96.34,2023.14,13.0,Shipped,Small,90.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Classic Gift Ideas, Inc",10307.0,S18_3029,2004-10-14,31.0,83.44,2586.64,7.0,Shipped,Small,30.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
giftsbymail.co.uk,10316.0,S18_3029,2004-11-01,21.0,94.62,1987.02,15.0,Shipped,Small,60.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Danish Wholesale Imports,10327.0,S18_3029,2004-11-10,25.0,45.86,1146.5,5.0,Resolved,Small,49.0,6.0,Fact_Sales,,,,,,,,,,,,,,,
Royale Belge,10338.0,S18_3029,2004-11-22,28.0,82.58,2312.24,3.0,Shipped,Small,91.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Euro Shopping Channel,10350.0,S18_3029,2004-12-02,43.0,64.97,2793.71,6.0,Shipped,Small,24.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Oulu Toy Supplies, Inc.",10373.0,S18_3029,2005-01-31,22.0,86.74,1908.28,5.0,Shipped,Small,61.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Euro Shopping Channel,10386.0,S18_3029,2005-03-01,37.0,93.01,3441.37,5.0,Resolved,Medium,24.0,6.0,Fact_Sales,,,,,,,,,,,,,,,
Reims Collectables,10398.0,S18_3029,2005-03-30,28.0,72.26,2023.28,18.0,Shipped,Small,2.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
The Sharp Gifts Warehouse,10400.0,S18_3029,2005-04-01,30.0,74.84,2245.2,7.0,Shipped,Small,62.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Gifts4AllAges.com,10414.0,S18_3029,2005-05-06,44.0,73.98,3255.12,1.0,On Hold,Medium,59.0,5.0,Fact_Sales,,,,,,,,,,,,,,,
Baane Mini Imports,10103.0,S18_3136,2003-01-29,25.0,100.0,2539.5,13.0,Shipped,Small,18.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Mini Wheels Co.,10111.0,S18_3136,2003-03-25,43.0,100.0,4818.15,1.0,Shipped,Medium,9.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Corrida Auto Replicas, Ltd",10126.0,S18_3136,2003-05-28,30.0,97.39,2921.7,13.0,Shipped,Small,26.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Souveniers And Things Co.,10139.0,S18_3136,2003-07-16,20.0,90.06,1801.2,2.0,Shipped,Small,21.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Dragon Souveniers, Ltd.",10150.0,S18_3136,2003-09-19,26.0,100.0,2804.36,10.0,Shipped,Small,27.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Classic Legends Inc.,10163.0,S18_3136,2003-10-20,40.0,100.0,4900.8,3.0,Shipped,Medium,28.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Rovelli Gifts,10173.0,S18_3136,2003-11-05,31.0,89.01,2759.31,1.0,Shipped,Small,87.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Classic Gift Ideas, Inc",10183.0,S18_3136,2003-11-13,22.0,100.0,2488.2,10.0,Shipped,Small,30.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Australian Collectables, Ltd",10193.0,S18_3136,2003-11-21,23.0,100.0,2769.89,2.0,Shipped,Small,88.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Canadian Gift Exchange Network,10206.0,S18_3136,2003-12-05,30.0,100.0,3581.4,8.0,Shipped,Medium,32.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
West Coast Collectables Co.,10215.0,S18_3136,2004-01-29,49.0,100.0,5285.14,5.0,Shipped,Medium,33.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Cambridge Collectables Co.,10228.0,S18_3136,2004-03-10,31.0,100.0,3181.53,4.0,Shipped,Medium,34.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Euro Shopping Channel,10244.0,S18_3136,2004-04-29,29.0,100.0,3340.51,2.0,Shipped,Medium,24.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
The Sharp Gifts Warehouse,10257.0,S18_3136,2004-06-14,37.0,84.82,3138.34,2.0,Shipped,Medium,62.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Souveniers And Things Co.,10270.0,S18_3136,2004-07-19,38.0,100.0,4775.08,11.0,Shipped,Medium,21.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Amica Models & Co.,10280.0,S18_3136,2004-08-17,29.0,100.0,3006.43,4.0,Shipped,Medium,37.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Scandinavian Gift Ideas,10291.0,S18_3136,2004-09-08,23.0,100.0,2866.26,13.0,Shipped,Small,38.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Auto Assoc. & Cie.,10304.0,S18_3136,2004-10-11,26.0,85.87,2232.62,8.0,Shipped,Small,39.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Mini Gifts Distributors Ltd.,10312.0,S18_3136,2004-10-21,38.0,100.0,4457.02,5.0,Shipped,Medium,40.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Online Diecast Creations Co.,10322.0,S18_3136,2004-11-04,48.0,47.04,2257.92,7.0,Shipped,Small,41.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"AV Stores, Co.",10332.0,S18_3136,2004-11-17,40.0,39.8,1592.0,18.0,Shipped,Small,78.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Australian Collectors, Co.",10347.0,S18_3136,2004-11-29,45.0,100.0,4948.2,11.0,Shipped,Medium,11.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Mini Gifts Distributors Ltd.,10357.0,S18_3136,2004-12-10,44.0,100.0,5160.76,4.0,Shipped,Medium,40.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Collectables For Less Inc.,10369.0,S18_3136,2005-01-20,21.0,94.22,1978.62,5.0,Shipped,Small,42.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Corporate Gift Ideas Co.,10381.0,S18_3136,2005-02-17,35.0,100.0,4288.2,5.0,Shipped,Medium,5.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Mini Auto Werke,10392.0,S18_3136,2005-03-10,29.0,86.92,2520.68,2.0,Shipped,Small,64.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Petit Auto,10423.0,S18_3136,2005-05-30,21.0,84.82,1781.22,2.0,In Process,Small,57.0,3.0,Fact_Sales,,,,,,,,,,,,,,,
Danish Wholesale Imports,10105.0,S18_3140,2003-02-11,22.0,100.0,3065.04,11.0,Shipped,Medium,49.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Dragon Souveniers, Ltd.",10117.0,S18_3140,2003-04-16,26.0,100.0,3551.34,5.0,Shipped,Medium,27.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Euro Shopping Channel,10128.0,S18_3140,2003-06-06,41.0,100.0,5544.02,2.0,Shipped,Medium,24.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Mini Gifts Distributors Ltd.,10142.0,S18_3140,2003-08-08,47.0,100.0,6034.33,8.0,Shipped,Medium,40.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Euro Shopping Channel,10153.0,S18_3140,2003-09-28,31.0,100.0,3641.57,7.0,Shipped,Medium,24.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
FunGiftIdeas.com,10166.0,S18_3140,2003-10-21,43.0,100.0,6930.74,2.0,Shipped,Medium,22.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
CAF Imports,10177.0,S18_3140,2003-11-07,23.0,100.0,3675.63,9.0,Shipped,Medium,77.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Mini Creations Ltd.,10185.0,S18_3140,2003-11-14,28.0,100.0,3442.04,9.0,Shipped,Medium,51.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Super Scale Inc.,10196.0,S18_3140,2003-11-26,49.0,100.0,6893.81,1.0,Shipped,Medium,35.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Saveley & Henriot, Co.",10208.0,S18_3140,2004-01-02,24.0,100.0,2622.48,9.0,Shipped,Small,31.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Petit Auto,10221.0,S18_3140,2004-02-18,33.0,100.0,4417.38,3.0,Shipped,Medium,57.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
giftsbymail.co.uk,10232.0,S18_3140,2004-03-20,22.0,100.0,3606.02,6.0,Shipped,Medium,60.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Land of Toys Inc.,10248.0,S18_3140,2004-05-07,32.0,100.0,3802.56,12.0,Cancelled,Medium,1.0,4.0,Fact_Sales,,,,,,,,,,,,,,,
Petit Auto,10273.0,S18_3140,2004-07-21,40.0,100.0,5026.4,13.0,Shipped,Medium,57.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Mini Gifts Distributors Ltd.,10282.0,S18_3140,2004-08-20,43.0,100.0,6695.53,1.0,Shipped,Medium,40.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Amica Models & Co.,10293.0,S18_3140,2004-09-09,24.0,100.0,2819.28,4.0,Shipped,Small,37.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"AV Stores, Co.",10306.0,S18_3140,2004-10-14,32.0,100.0,3759.04,9.0,Shipped,Medium,78.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Heintze Collectables,10314.0,S18_3140,2004-10-22,20.0,100.0,2731.8,1.0,Shipped,Small,79.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Baane Mini Imports,10325.0,S18_3140,2004-11-05,24.0,69.12,1658.88,9.0,Shipped,Small,18.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"La Corne D'abondance, Co.",10336.0,S18_3140,2004-11-20,48.0,100.0,5778.24,12.0,Shipped,Medium,63.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Euro Shopping Channel,10350.0,S18_3140,2004-12-02,44.0,100.0,5191.12,1.0,Shipped,Medium,24.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Tokyo Collectables, Ltd",10372.0,S18_3140,2005-01-26,28.0,100.0,3862.88,3.0,Shipped,Medium,36.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Euro Shopping Channel,10383.0,S18_3140,2005-02-22,24.0,61.52,1476.48,9.0,Shipped,Small,24.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Mini Gifts Distributors Ltd.,10396.0,S18_3140,2005-03-23,33.0,100.0,5273.73,2.0,Shipped,Medium,40.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Gifts4AllAges.com,10414.0,S18_3140,2005-05-06,41.0,100.0,4872.03,12.0,On Hold,Medium,59.0,5.0,Fact_Sales,,,,,,,,,,,,,,,
Euro Shopping Channel,10104.0,S18_3232,2003-01-31,23.0,100.0,4556.99,13.0,Shipped,Medium,24.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Motor Mint Distributors Inc.,10109.0,S18_3232,2003-03-10,46.0,100.0,8257.0,5.0,Shipped,Large,46.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"La Corne D'abondance, Co.",10114.0,S18_3232,2003-04-01,48.0,100.0,8209.44,4.0,Shipped,Large,63.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Marseille Mini Autos,10122.0,S18_3232,2003-05-08,25.0,100.0,3598.5,3.0,Shipped,Medium,68.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Muscle Machine Inc,10127.0,S18_3232,2003-06-03,22.0,100.0,3837.24,15.0,Shipped,Medium,75.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Alpha Cognac,10136.0,S18_3232,2003-07-04,41.0,100.0,8331.61,3.0,Shipped,Large,52.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Suominen Souveniers,10141.0,S18_3232,2003-08-01,34.0,100.0,4836.5,9.0,Shipped,Medium,74.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Anna's Decorations, Ltd",10148.0,S18_3232,2003-09-11,32.0,100.0,5418.88,14.0,Shipped,Medium,43.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Oulu Toy Supplies, Inc.",10151.0,S18_3232,2003-09-21,21.0,100.0,3734.01,7.0,Shipped,Medium,61.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
