CUSTOMERNAME,ORDERNUMBER,PRODUCTCODE,ORDERDATE,QUANTITYORDERED,PRICEEACH,SALES,ORDERLINENUMBER,STATUS,DEALSIZE,CUSTOMER_ID,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,STATUS_ID
Corporate Gift Ideas Co.,10381,S18_1097,2005-02-17,48,98.0,4704.0,2,Shipped,Medium,5,6505551386,7734 Strong St.,,San Francisco,CA,,USA,,Brown,Julie,1
"Anna's Decorations, Ltd",10391,S18_1097,2005-03-09,29,85.1,2467.9,10,Shipped,Small,43,02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,1
Quebec Home Shopping Network,10411,S18_1097,2005-05-01,27,100.0,3213.0,8,Shipped,Medium,44,(514) 555-8054,43 rue St. Laurent,,Montreal,Quebec,H1J 1C3,Canada,,Fresnisre,Jean,1
Euro Shopping Channel,10424,S18_1097,2005-05-31,54,100.0,7182.0,5,In Process,Large,24,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,3
Motor Mint Distributors Inc.,10109,S18_1129,2003-03-10,26,100.0,4379.18,4,Shipped,Medium,46,2155559857,11328 Douglas Av.,,Philadelphia,PA,71270,USA,,Hernandez,Rosa,1
Marseille Mini Autos,10122,S18_1129,2003-05-08,34,100.0,5004.8,2,Shipped,Medium,68,91.24.4555,"12, rue des Bouchers",,Marseille,,13008,France,EMEA,Lebihan,Laurence,1
Alpha Cognac,10136,S18_1129,2003-07-04,25,100.0,3644.75,2,Shipped,Medium,52,61.77.6555,1 rue Alsace-Lorraine,,Toulouse,,31000,France,EMEA,Roulet,Annette,1
"Anna's Decorations, Ltd",10148,S18_1129,2003-09-11,23,100.0,2702.04,13,Shipped,Small,43,02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,1
Heintze Collectables,10161,S18_1129,2003-10-17,28,100.0,3764.88,12,Shipped,Medium,79,86 21 3555,Smagsloget 45,,Aaarhus,,8200,Denmark,EMEA,Ibsen,Palle,1
Quebec Home Shopping Network,10171,S18_1129,2003-11-05,35,100.0,4508.0,2,Shipped,Medium,44,(514) 555-8054,43 rue St. Laurent,,Montreal,Quebec,H1J 1C3,Canada,,Fresnisre,Jean,1
Herkku Gifts,10181,S18_1129,2003-11-12,44,100.0,5418.16,6,Shipped,Medium,8,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,1
Online Diecast Creations Co.,10192,S18_1129,2003-11-20,22,100.0,3300.66,11,Shipped,Medium,41,6035558647,2304 Long Airport Avenue,,Nashua,NH,62005,USA,,Young,Valarie,1
Muscle Machine Inc,10204,S18_1129,2003-12-02,42,100.0,6182.4,17,Shipped,Medium,75,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,,Young,Jeff,1
Euro Shopping Channel,10212,S18_1129,2004-01-16,29,100.0,4186.73,10,Shipped,Medium,24,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,1
"Vida Sport, Ltd",10225,S18_1129,2004-02-22,32,100.0,4529.28,1,Shipped,Medium,70,0897-034555,Grenzacherweg 237,,Gensve,,1203,Switzerland,EMEA,Holz,Michael,1
Osaka Souveniers Co.,10240,S18_1129,2004-04-13,41,100.0,5628.89,3,Shipped,Medium,45,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,1
"UK Collectables, Ltd.",10253,S18_1129,2004-06-01,26,100.0,3054.48,5,Cancelled,Medium,23,(171) 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth,4
L'ordine Souveniers,10266,S18_1129,2004-07-06,21,100.0,2526.51,6,Shipped,Small,71,0522-556555,Strada Provinciale 124,,Reggio Emilia,,42100,Italy,EMEA,Moroni,Maurizio,1
Signal Gift Stores,10278,S18_1129,2004-08-06,34,100.0,4667.86,6,Shipped,Medium,85,7025551838,8489 Strong St.,,Las Vegas,NV,83030,USA,,King,Sue,1
"Vida Sport, Ltd",10287,S18_1129,2004-08-30,41,100.0,6499.32,4,Shipped,Medium,70,0897-034555,Grenzacherweg 237,,Gensve,,1203,Switzerland,EMEA,Holz,Michael,1
"Norway Gifts By Mail, Co.",10301,S18_1129,2003-10-05,37,100.0,5917.78,8,Shipped,Medium,86,+47 2212 1555,"Drammensveien 126 A, PB 744 Sentrum",,Oslo,,N 0106,Norway,EMEA,Klaeboe,Jan,1
"Toms Spezialitten, Ltd",10310,S18_1129,2004-10-16,37,100.0,6231.91,2,Shipped,Medium,69,0221-5554327,Mehrheimerstr. 369,,Koln,,50739,Germany,EMEA,Pfalzheim,Henriette,1
FunGiftIdeas.com,10321,S18_1129,2004-11-04,41,100.0,5803.14,10,Shipped,Medium,22,5085552555,1785 First Street,,New Bedford,MA,50553,USA,,Benitez,Violeta,1
Motor Mint Distributors Inc.,10331,S18_1129,2004-11-17,46,100.0,6434.02,6,Shipped,Medium,46,2155559857,11328 Douglas Av.,,Philadelphia,PA,71270,USA,,Hernandez,Rosa,1
"Australian Collectors, Co.",10342,S18_1129,2004-11-24,40,100.0,6454.4,2,Shipped,Medium,11,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,1
Lyon Souveniers,10356,S18_1129,2004-12-09,43,97.6,4196.8,8,Shipped,Medium,3,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel,1
Mini Creations Ltd.,10365,S18_1129,2005-01-07,30,87.06,2611.8,1,Shipped,Small,51,5085559555,4575 Hillside Dr.,,New Bedford,MA,50553,USA,,Tam,Wing C,1
"Toys of Finland, Co.",10377,S18_1129,2005-02-09,35,100.0,5895.05,2,Shipped,Medium,17,90-224 8555,Keskuskatu 45,,Helsinki,,21240,Finland,EMEA,Karttunen,Matti,1
Mini Gifts Distributors Ltd.,10390,S18_1129,2005-03-04,36,93.77,3375.72,14,Shipped,Medium,40,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,1
Danish Wholesale Imports,10406,S18_1129,2005-04-15,61,100.0,8374.69,3,Disputed,Large,49,31 12 3555,Vinb'ltet 34,,Kobenhavn,,1734,Denmark,EMEA,Petersen,Jytte,2
Salzburg Collectables,10419,S18_1129,2005-05-17,38,100.0,4464.24,5,Shipped,Medium,20,6562-9555,Geislweg 14,,Salzburg,,5020,Austria,EMEA,Pipps,Georg,1
Vitachrome Inc.,10102,S18_1342,2003-01-10,39,100.0,4808.31,2,Shipped,Medium,12,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,,Frick,Michael,1
Mini Wheels Co.,10111,S18_1342,2003-03-25,33,99.66,3288.78,6,Shipped,Medium,9,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,,Murphy,Julie,1
"Australian Collectors, Co.",10125,S18_1342,2003-05-21,32,100.0,3254.72,1,Shipped,Medium,11,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,1
Souveniers And Things Co.,10139,S18_1342,2003-07-16,31,100.0,3184.94,7,Shipped,Medium,21,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,1
Signal Collectibles Ltd.,10149,S18_1342,2003-09-12,50,100.0,5907.5,4,Shipped,Medium,83,4155554312,2793 Furth Circle,,Brisbane,CA,94217,USA,,Taylor,Sue,1
Corporate Gift Ideas Co.,10162,S18_1342,2003-10-18,48,91.44,4389.12,2,Shipped,Medium,5,6505551386,7734 Strong St.,,San Francisco,CA,,USA,,Brown,Julie,1
Rovelli Gifts,10173,S18_1342,2003-11-05,43,100.0,5036.16,6,Shipped,Medium,87,035-640555,Via Ludovico il Moro 22,,Bergamo,,24100,Italy,EMEA,Rovelli,Giovanni,1
Mini Gifts Distributors Ltd.,10182,S18_1342,2003-11-12,25,87.33,2183.25,3,Shipped,Small,40,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,1
"Australian Collectables, Ltd",10193,S18_1342,2003-11-21,28,100.0,3106.88,7,Shipped,Medium,88,61-9-3844-6555,7 Allen Street,,Glen Waverly,Victoria,3150,Australia,APAC,Connery,Sean,1
Euro Shopping Channel,10205,S18_1342,2003-12-03,36,100.0,3735.72,2,Shipped,Medium,24,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,1
West Coast Collectables Co.,10215,S18_1342,2004-01-29,27,89.38,2413.26,10,Shipped,Small,33,3105553722,3675 Furth Circle,,Burbank,CA,94019,USA,,Thompson,Steve,1
"Saveley & Henriot, Co.",10227,S18_1342,2004-03-02,25,100.0,2953.75,3,Shipped,Small,31,78.32.5555,"2, rue du Commerce",,Lyon,,69004,France,EMEA,Saveley,Mary,1
Euro Shopping Channel,10244,S18_1342,2004-04-29,40,100.0,4684.8,7,Shipped,Medium,24,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,1
Danish Wholesale Imports,10256,S18_1342,2004-06-08,34,95.55,3248.7,2,Shipped,Medium,49,31 12 3555,Vinb'ltet 34,,Kobenhavn,,1734,Denmark,EMEA,Petersen,Jytte,1
Amica Models & Co.,10280,S18_1342,2004-08-17,50,100.0,5239.5,9,Shipped,Medium,37,011-4988555,Via Monte Bianco 34,,Torino,,10100,Italy,EMEA,Accorti,Paolo,1
Herkku Gifts,10289,S18_1342,2004-09-03,38,100.0,4567.98,2,Shipped,Medium,8,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,1
Auto Assoc. & Cie.,10304,S18_1342,2004-10-11,37,95.55,3535.35,13,Shipped,Medium,39,30.59.8555,"67, avenue de l'Europe",,Versailles,,78000,France,EMEA,Tonini,Daniel,1
Mini Gifts Distributors Ltd.,10312,S18_1342,2004-10-21,43,89.38,3843.34,10,Shipped,Medium,40,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,1
Online Diecast Creations Co.,10322,S18_1342,2004-11-04,43,86.3,3710.9,14,Shipped,Medium,41,6035558647,2304 Long Airport Avenue,,Nashua,NH,62005,USA,,Young,Valarie,1
"AV Stores, Co.",10332,S18_1342,2004-11-17,46,95.13,4375.98,15,Shipped,Medium,78,(171) 555-1555,Fauntleroy Circus,,Manchester,,EC2 5NT,UK,EMEA,Ashworth,Victoria,1
Signal Gift Stores,10346,S18_1342,2004-11-29,42,36.11,1516.62,3,Shipped,Small,85,7025551838,8489 Strong St.,,Las Vegas,NV,83030,USA,,King,Sue,1
Lyon Souveniers,10356,S18_1342,2004-12-09,50,50.18,2509.0,9,Shipped,Small,3,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel,1
Collectables For Less Inc.,10369,S18_1342,2005-01-20,44,100.0,9240.44,8,Shipped,Large,42,6175558555,7825 Douglas Av.,,Brickhaven,MA,58339,USA,,Nelson,Allen,1
Euro Shopping Channel,10380,S18_1342,2005-02-16,27,93.16,2515.32,13,Shipped,Small,24,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,1
"Anna's Decorations, Ltd",10391,S18_1342,2005-03-09,35,100.0,5548.9,2,Shipped,Medium,43,02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,1
Diecast Classics Inc.,10422,S18_1342,2005-05-30,51,95.55,4873.05,2,In Process,Medium,19,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,,Yu,Kyung,3
Vitachrome Inc.,10102,S18_1367,2003-01-10,41,50.14,2055.74,1,Shipped,Small,12,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,,Frick,Michael,1
Mini Wheels Co.,10111,S18_1367,2003-03-25,48,49.06,2354.88,5,Shipped,Small,9,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,,Murphy,Julie,1
"Corrida Auto Replicas, Ltd",10126,S18_1367,2003-05-28,42,54.99,2309.58,17,Shipped,Small,26,(91) 555 22 82,"C/ Araquil, 67",,Madrid,,28023,Spain,EMEA,Sommer,Mart°n,1
Souveniers And Things Co.,10139,S18_1367,2003-07-16,49,43.13,2113.37,6,Shipped,Small,21,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,1
Signal Collectibles Ltd.,10149,S18_1367,2003-09-12,30,58.22,1746.6,3,Shipped,Small,83,4155554312,2793 Furth Circle,,Brisbane,CA,94217,USA,,Taylor,Sue,1
Corporate Gift Ideas Co.,10162,S18_1367,2003-10-18,45,51.21,2304.45,1,Shipped,Small,5,6505551386,7734 Strong St.,,San Francisco,CA,,USA,,Brown,Julie,1
Rovelli Gifts,10173,S18_1367,2003-11-05,48,44.21,2122.08,5,Shipped,Small,87,035-640555,Via Ludovico il Moro 22,,Bergamo,,24100,Italy,EMEA,Rovelli,Giovanni,1
Mini Gifts Distributors Ltd.,10182,S18_1367,2003-11-12,32,54.45,1742.4,2,Shipped,Small,40,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,1
"Australian Collectables, Ltd",10193,S18_1367,2003-11-21,46,53.37,2455.02,6,Shipped,Small,88,61-9-3844-6555,7 Allen Street,,Glen Waverly,Victoria,3150,Australia,APAC,Connery,Sean,1
Euro Shopping Channel,10205,S18_1367,2003-12-03,48,63.61,3053.28,1,Shipped,Medium,24,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,1
West Coast Collectables Co.,10215,S18_1367,2004-01-29,33,43.13,1423.29,9,Shipped,Small,33,3105553722,3675 Furth Circle,,Burbank,CA,94019,USA,,Thompson,Steve,1
"Saveley & Henriot, Co.",10227,S18_1367,2004-03-02,31,48.52,1504.12,2,Shipped,Small,31,78.32.5555,"2, rue du Commerce",,Lyon,,69004,France,EMEA,Saveley,Mary,1
Euro Shopping Channel,10244,S18_1367,2004-04-29,20,58.22,1164.4,6,Shipped,Small,24,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,1
Danish Wholesale Imports,10256,S18_1367,2004-06-08,29,51.75,1500.75,1,Shipped,Small,49,31 12 3555,Vinb'ltet 34,,Kobenhavn,,1734,Denmark,EMEA,Petersen,Jytte,1
Amica Models & Co.,10280,S18_1367,2004-08-17,27,57.68,1557.36,8,Shipped,Small,37,011-4988555,Via Monte Bianco 34,,Torino,,10100,Italy,EMEA,Accorti,Paolo,1
Herkku Gifts,10289,S18_1367,2004-09-03,24,56.07,1345.68,1,Shipped,Small,8,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,1
Auto Assoc. & Cie.,10304,S18_1367,2004-10-11,37,48.52,1795.24,12,Shipped,Small,39,30.59.8555,"67, avenue de l'Europe",,Versailles,,78000,France,EMEA,Tonini,Daniel,1
Mini Gifts Distributors Ltd.,10312,S18_1367,2004-10-21,25,44.21,1105.25,9,Shipped,Small,40,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,1
Online Diecast Creations Co.,10322,S18_1367,2004-11-04,41,57.68,2364.88,5,Shipped,Small,41,6035558647,2304 Long Airport Avenue,,Nashua,NH,62005,USA,,Young,Valarie,1
"AV Stores, Co.",10332,S18_1367,2004-11-17,27,89.89,2427.03,16,Shipped,Small,78,(171) 555-1555,Fauntleroy Circus,,Manchester,,EC2 5NT,UK,EMEA,Ashworth,Victoria,1
"Australian Collectors, Co.",10347,S18_1367,2004-11-29,21,58.95,1237.95,7,Shipped,Small,11,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,1
Lyon Souveniers,10356,S18_1367,2004-12-09,22,72.41,1593.02,6,Shipped,Small,3,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel,1
Collectables For Less Inc.,10369,S18_1367,2005-01-20,32,98.63,3156.16,7,Shipped,Medium,42,6175558555,7825 Douglas Av.,,Brickhaven,MA,58339,USA,,Nelson,Allen,1
Corporate Gift Ideas Co.,10381,S18_1367,2005-02-17,25,52.83,1320.75,9,Shipped,Small,5,6505551386,7734 Strong St.,,San Francisco,CA,,USA,,Brown,Julie,1
"Anna's Decorations, Ltd",10391,S18_1367,2005-03-09,42,100.0,4998.0,3,Shipped,Medium,43,02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,1
Diecast Classics Inc.,10422,S18_1367,2005-05-30,25,51.75,1293.75,1,In Process,Small,19,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,,Yu,Kyung,3
"AV Stores, Co.",10110,S18_1589,2003-03-18,37,100.0,5433.08,16,Shipped,Medium,78,(171) 555-1555,Fauntleroy Circus,,Manchester,,EC2 5NT,UK,EMEA,Ashworth,Victoria,1
Atelier graphique,10123,S18_1589,2003-05-20,26,100.0,3073.72,2,Shipped,Medium,47,40.32.2555,"54, rue Royale",,Nantes,,44000,France,EMEA,Schmitt,Carine,1
Reims Collectables,10137,S18_1589,2003-07-10,44,99.55,4380.2,2,Shipped,Medium,2,26.47.1555,59 rue de l'Abbaye,,Reims,,51100,France,EMEA,Henriot,Paul,1
"Anna's Decorations, Ltd",10148,S18_1589,2003-09-11,47,100.0,5848.68,9,Shipped,Medium,43,02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,1
Heintze Collectables,10161,S18_1589,2003-10-17,43,100.0,6153.73,8,Shipped,Medium,79,86 21 3555,Smagsloget 45,,Aaarhus,,8200,Denmark,EMEA,Ibsen,Palle,1
Gift Depot Inc.,10172,S18_1589,2003-11-05,42,100.0,4965.24,6,Shipped,Medium,14,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,,King,Julie,1
Herkku Gifts,10181,S18_1589,2003-11-12,42,100.0,5435.64,2,Shipped,Medium,8,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,1
Online Diecast Creations Co.,10192,S18_1589,2003-11-20,29,100.0,4258.36,7,Shipped,Medium,41,6035558647,2304 Long Airport Avenue,,Nashua,NH,62005,USA,,Young,Valarie,1
Muscle Machine Inc,10204,S18_1589,2003-12-02,40,100.0,4032.0,13,Shipped,Medium,75,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,,Young,Jeff,1
Euro Shopping Channel,10212,S18_1589,2004-01-16,38,100.0,4492.36,6,Shipped,Medium,24,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,1
Collectable Mini Designs Co.,10226,S18_1589,2004-02-26,38,100.0,4161.38,4,Shipped,Medium,56,7605558146,361 Furth Circle,,San Diego,CA,91217,USA,,Thompson,Valarie,1
Mini Caravy,10241,S18_1589,2004-04-13,21,100.0,2508.66,11,Shipped,Small,84,88.60.1555,"24, place Kluber",,Strasbourg,,67000,France,EMEA,Citeaux,Frederique,1
"UK Collectables, Ltd.",10253,S18_1589,2004-06-01,24,100.0,3374.88,1,Cancelled,Medium,23,(171) 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth,4
L'ordine Souveniers,10266,S18_1589,2004-07-06,36,100.0,5196.6,2,Shipped,Medium,71,0522-556555,Strada Provinciale 124,,Reggio Emilia,,42100,Italy,EMEA,Moroni,Maurizio,1
Signal Gift Stores,10278,S18_1589,2004-08-06,23,100.0,2604.52,2,Shipped,Small,85,7025551838,8489 Strong St.,,Las Vegas,NV,83030,USA,,King,Sue,1
Handji Gifts& Co,10288,S18_1589,2004-09-01,20,100.0,2936.8,14,Shipped,Small,66,+65 224 1555,Village Close - 106 Linden Road Sandown,2nd Floor,Singapore,,69045,Singapore,APAC,Victorino,Wendy,1
"Norway Gifts By Mail, Co.",10301,S18_1589,2003-10-05,32,100.0,3424.64,4,Shipped,Medium,86,+47 2212 1555,"Drammensveien 126 A, PB 744 Sentrum",,Oslo,,N 0106,Norway,EMEA,Klaeboe,Jan,1
Euro Shopping Channel,10311,S18_1589,2004-10-16,29,100.0,2923.2,9,Shipped,Small,24,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,1
FunGiftIdeas.com,10321,S18_1589,2004-11-04,44,100.0,4489.76,6,Shipped,Medium,22,5085552555,1785 First Street,,New Bedford,MA,50553,USA,,Benitez,Violeta,1
Motor Mint Distributors Inc.,10331,S18_1589,2004-11-17,44,100.0,4849.24,14,Shipped,Medium,46,2155559857,11328 Douglas Av.,,Philadelphia,PA,71270,USA,,Hernandez,Rosa,1
Reims Collectables,10343,S18_1589,2004-11-24,36,100.0,5848.92,4,Shipped,Medium,2,26.47.1555,59 rue de l'Abbaye,,Reims,,51100,France,EMEA,Henriot,Paul,1
Toys4GrownUps.com,10367,S18_1589,2005-01-12,49,56.3,2758.7,1,Resolved,Small,4,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,,Young,Julie,6
Euro Shopping Channel,10378,S18_1589,2005-02-10,34,42.64,1449.76,5,Shipped,Small,24,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,1
The Sharp Gifts Warehouse,10407,S18_1589,2005-04-22,59,100.0,7048.14,11,On Hold,Large,62,4085553659,3086 Ingle Ln.,,San Jose,CA,94217,USA,,Frick,Sue,5
Salzburg Collectables,10419,S18_1589,2005-05-17,37,100.0,5202.94,1,Shipped,Medium,20,6562-9555,Geislweg 14,,Salzburg,,5020,Austria,EMEA,Pipps,Georg,1
Rovelli Gifts,10106,S18_1662,2003-02-17,36,100.0,5279.4,12,Shipped,Medium,87,035-640555,Via Ludovico il Moro 22,,Bergamo,,24100,Italy,EMEA,Rovelli,Giovanni,1
Salzburg Collectables,10119,S18_1662,2003-04-28,43,100.0,6916.12,3,Shipped,Medium,20,6562-9555,Geislweg 14,,Salzburg,,5020,Austria,EMEA,Pipps,Georg,1
Gift Ideas Corp.,10131,S18_1662,2003-06-16,21,100.0,2781.66,4,Shipped,Small,89,2035554407,2440 Pompton St.,,Glendale,CT,97561,USA,,Lewis,Dan,1
Mini Creations Ltd.,10143,S18_1662,2003-08-10,32,100.0,5248.0,7,Shipped,Medium,51,5085559555,4575 Hillside Dr.,,New Bedford,MA,50553,USA,,Tam,Wing C,1
"Toys of Finland, Co.",10155,S18_1662,2003-10-06,38,100.0,6531.44,5,Shipped,Medium,17,90-224 8555,Keskuskatu 45,,Helsinki,,21240,Finland,EMEA,Karttunen,Matti,1
Scandinavian Gift Ideas,10167,S18_1662,2003-10-23,43,100.0,5763.72,1,Cancelled,Medium,38,0695-34 6555,?kergatan 24,,Boras,,S-844 67,Sweden,EMEA,Larsson,Maria,4
Alpha Cognac,10178,S18_1662,2003-11-08,42,100.0,6490.68,4,Shipped,Medium,52,61.77.6555,1 rue Alsace-Lorraine,,Toulouse,,31000,France,EMEA,Roulet,Annette,1
"Double Decker Gift Stores, Ltd",10186,S18_1662,2003-11-14,32,100.0,6004.8,1,Shipped,Medium,53,(171) 555-7555,120 Hanover Sq.,,London,,WA1 1DP,UK,EMEA,Hardy,Thomas,1
Cruz & Sons Co.,10198,S18_1662,2003-11-27,42,100.0,7483.98,4,Shipped,Large,67,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,,Makati City,,1227 MM,Philippines,Japan,Cruz,Arnold,1
Osaka Souveniers Co.,10210,S18_1662,2004-01-12,31,100.0,5719.5,17,Shipped,Medium,45,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,1
Collectable Mini Designs Co.,10222,S18_1662,2004-02-19,49,100.0,6954.08,4,Shipped,Medium,56,7605558146,361 Furth Circle,,San Diego,CA,91217,USA,,Thompson,Valarie,1
The Sharp Gifts Warehouse,10250,S18_1662,2004-05-11,45,100.0,8160.3,14,Shipped,Large,62,4085553659,3086 Ingle Ln.,,San Jose,CA,94217,USA,,Frick,Sue,1
Euro Shopping Channel,10262,S18_1662,2004-06-24,49,100.0,6567.96,9,Cancelled,Medium,24,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,4
Collectables For Less Inc.,10274,S18_1662,2004-07-21,41,100.0,6724.0,1,Shipped,Medium,42,6175558555,7825 Douglas Av.,,Brickhaven,MA,58339,USA,,Nelson,Allen,1
"Norway Gifts By Mail, Co.",10284,S18_1662,2004-08-21,45,100.0,5747.85,11,Shipped,Medium,86,+47 2212 1555,"Drammensveien 126 A, PB 744 Sentrum",,Oslo,,N 0106,Norway,EMEA,Klaeboe,Jan,1
"Bavarian Collectables Imports, Co.",10296,S18_1662,2004-09-15,36,100.0,5676.84,7,Shipped,Medium,90,+49 89 61 08 9555,Hansastr. 15,,Munich,,80686,Germany,EMEA,Donnermeyer,Michael,1
"Classic Gift Ideas, Inc",10307,S18_1662,2004-10-14,39,100.0,7379.97,1,Shipped,Large,30,2155554695,782 First Street,,Philadelphia,PA,71270,USA,,Cervantes,Francisca,1
giftsbymail.co.uk,10316,S18_1662,2004-11-01,27,100.0,3704.13,9,Shipped,Medium,60,(198) 555-8888,Garden House Crowther Way,,Cowes,Isle of Wight,PO31 7PJ,UK,EMEA,Bennett,Helen,1
Danish Wholesale Imports,10327,S18_1662,2004-11-10,25,100.0,2804.75,6,Resolved,Small,49,31 12 3555,Vinb'ltet 34,,Kobenhavn,,1734,Denmark,EMEA,Petersen,Jytte,6
Royale Belge,10338,S18_1662,2004-11-22,41,100.0,5624.79,1,Shipped,Medium,91,(071) 23 67 2555,"Boulevard Tirou, 255",,Charleroi,,B-6000,Belgium,EMEA,Cartrain,Pascale,1
"Stylish Desk Decors, Co.",10351,S18_1662,2004-12-03,39,99.52,3881.28,1,Shipped,Medium,50,(171) 555-0297,35 King George,,London,,WX3 6FW,UK,EMEA,Brown,Ann,1
"Oulu Toy Supplies, Inc.",10373,S18_1662,2005-01-31,28,57.55,1611.4,4,Shipped,Small,61,981-443655,Torikatu 38,,Oulu,,90110,Finland,EMEA,Koskitalo,Pirkko,1
Euro Shopping Channel,10386,S18_1662,2005-03-01,25,54.57,1364.25,7,Resolved,Small,24,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,6
Reims Collectables,10398,S18_1662,2005-03-30,33,100.0,4215.09,11,Shipped,Medium,2,26.47.1555,59 rue de l'Abbaye,,Reims,,51100,France,EMEA,Henriot,Paul,1
The Sharp Gifts Warehouse,10400,S18_1662,2005-04-01,34,100.0,6433.82,1,Shipped,Medium,62,4085553659,3086 Ingle Ln.,,San Jose,CA,94217,USA,,Frick,Sue,1
L'ordine Souveniers,10416,S18_1662,2005-05-10,24,100.0,4352.16,14,Shipped,Medium,71,0522-556555,Strada Provinciale 124,,Reggio Emilia,,42100,Italy,EMEA,Moroni,Maurizio,1
